Timestamp,Open,High,Low,Close,Volume
2026-06-25T15:30:00.0000000Z,1.53,1.5406,1.53,1.5406,68
2026-06-25T15:31:00.0000000Z,1.55,1.55,1.545,1.545,5
2026-06-25T15:32:00.0000000Z,1.55,1.5599,1.532,1.532,41
2026-06-25T15:33:00.0000000Z,1.53,1.53,1.53,1.53,16
2026-06-25T15:34:00.0000000Z,1.525,1.525,1.525,1.525,3
2026-06-25T15:35:00.0000000Z,1.5294,1.53,1.525,1.525,11
2026-06-25T15:36:00.0000000Z,1.5293,1.5293,1.528,1.528,6
2026-06-25T15:37:00.0000000Z,1.525,1.5351,1.52,1.5223,65
2026-06-25T15:38:00.0000000Z,1.53,1.53,1.5299,1.5299,7
2026-06-25T15:39:00.0000000Z,1.52,1.52,1.52,1.52,4
2026-06-25T15:40:00.0000000Z,1.52,1.52,1.51,1.51,4
2026-06-25T15:41:00.0000000Z,1.51,1.51,1.51,1.51,0
2026-06-25T15:42:00.0000000Z,1.5,1.5,1.48,1.4879,86
2026-06-25T15:43:00.0000000Z,1.48,1.48,1.4602,1.475,42
2026-06-25T15:44:00.0000000Z,1.475,1.495,1.45,1.48,417
2026-06-25T15:45:00.0000000Z,1.4962,1.4962,1.46,1.4784,26
2026-06-25T15:46:00.0000000Z,1.482,1.482,1.475,1.475,10
2026-06-25T15:47:00.0000000Z,1.4697,1.4697,1.46,1.465,29
2026-06-25T15:48:00.0000000Z,1.47,1.47,1.46,1.46,6
2026-06-25T15:49:00.0000000Z,1.475,1.475,1.46,1.46,42
2026-06-25T15:50:00.0000000Z,1.46,1.46,1.46,1.46,0
2026-06-25T15:51:00.0000000Z,1.4627,1.4845,1.46,1.4845,27
2026-06-25T15:52:00.0000000Z,1.46,1.46,1.46,1.46,1
2026-06-25T15:53:00.0000000Z,1.46,1.4723,1.46,1.46,59
2026-06-25T15:54:00.0000000Z,1.46,1.46,1.46,1.46,0
2026-06-25T15:55:00.0000000Z,1.455,1.455,1.44,1.44,113
2026-06-25T15:56:00.0000000Z,1.43,1.43,1.41,1.425,195
2026-06-25T15:57:00.0000000Z,1.4101,1.4174,1.4101,1.4174,52
2026-06-25T15:58:00.0000000Z,1.4174,1.4346,1.41,1.41,23
2026-06-25T15:59:00.0000000Z,1.4187,1.44,1.4,1.44,85
2026-06-25T16:00:00.0000000Z,1.4,1.4399,1.4,1.41,7
2026-06-25T16:01:00.0000000Z,1.405,1.4099,1.405,1.4099,12
2026-06-25T16:02:00.0000000Z,1.41,1.41,1.405,1.405,37
2026-06-25T16:03:00.0000000Z,1.4,1.41,1.4,1.4006,8
2026-06-25T16:04:00.0000000Z,1.4,1.42,1.4,1.42,30
2026-06-25T16:05:00.0000000Z,1.4,1.42,1.4,1.41,54
2026-06-25T16:06:00.0000000Z,1.41,1.42,1.4005,1.41,31
2026-06-25T16:07:00.0000000Z,1.4056,1.4101,1.4056,1.4101,10
