TimestampUtc,Bid,Ask,BidSize,AskSize,SpreadBps
2026-03-09 13:30:00.849Z,1.0052,1.0148,100,100,95.0
2026-03-09 13:30:01.267Z,1.0041,1.0157,100,100,114.9
2026-03-09 13:30:02.601Z,1.0043,1.0157,100,100,112.9
2026-03-09 13:30:03.470Z,1.0050,1.0150,100,100,99.0
2026-03-09 13:30:04.169Z,1.0058,1.0146,100,100,87.1
2026-03-09 13:30:05.812Z,1.0049,1.0153,100,100,103.0
2026-03-09 13:30:06.453Z,1.0061,1.0143,100,100,81.2
2026-03-09 13:30:07.480Z,1.0045,1.0153,100,100,106.9
2026-03-09 13:30:08.580Z,1.0054,1.0142,100,100,87.1
2026-03-09 13:30:09.228Z,1.0054,1.0150,100,100,95.0
2026-03-09 13:30:10.700Z,1.0050,1.0152,100,100,101.0
2026-03-09 13:30:11.679Z,1.0048,1.0148,100,100,99.0
2026-03-09 13:30:12.635Z,1.0045,1.0151,100,100,105.0
2026-03-09 13:30:13.543Z,1.0047,1.0151,100,100,103.0
2026-03-09 13:30:14.766Z,1.0044,1.0160,100,100,114.8
2026-03-09 13:30:15.002Z,1.0050,1.0148,100,100,97.0
2026-03-09 13:30:16.481Z,1.0047,1.0151,100,100,103.0
2026-03-09 13:30:17.878Z,1.0043,1.0161,100,100,116.8
2026-03-09 13:30:18.055Z,1.0061,1.0143,100,100,81.2
2026-03-09 13:30:19.880Z,1.0053,1.0147,100,100,93.1
2026-03-09 13:30:20.592Z,1.0057,1.0139,100,100,81.2
2026-03-09 13:30:21.844Z,1.0051,1.0149,100,100,97.0
2026-03-09 13:30:22.299Z,1.0048,1.0156,100,100,106.9
2026-03-09 13:30:23.092Z,1.0050,1.0152,100,100,101.0
2026-03-09 13:30:24.645Z,1.0042,1.0160,100,100,116.8
2026-03-09 13:30:25.728Z,1.0048,1.0150,100,100,101.0
2026-03-09 13:30:26.597Z,1.0060,1.0144,100,100,83.2
2026-03-09 13:30:27.433Z,1.0043,1.0161,100,100,116.8
2026-03-09 13:30:28.483Z,1.0041,1.0155,100,100,112.9
2026-03-09 13:30:29.352Z,1.0045,1.0155,100,100,108.9
2026-03-09 13:30:30.412Z,1.0054,1.0150,100,100,95.0
2026-03-09 13:30:31.649Z,1.0043,1.0157,100,100,112.9
2026-03-09 13:30:32.383Z,1.0047,1.0151,100,100,103.0
